"ADVERTISER","TARGETED COUNTRIES","LINK ID","NAME","DESCRIPTION","KEYWORDS","LINK TYPE","THREE MONTH EPC","SEVEN DAY EPC","LAST UDPATED","HTML LINKS","JAVASCRIPT LINKS","CLICK URL","PROMOTION TYPE","COUPON CODE","PROMOTIONAL DATE","PROMOTIONAL END DATE","CATEGORY","ADV_CID","RELATIONSHIP STATUS","LANGUAGE","MOBILE OPTIMIZED"
"1-800-FLORALS","","10025572","468 x 60 Banner","SendFlowersBanner","flower,flowers,florist,florists,roses,plants,house plant/s,flower delivery,funeral flowers,sympathy flowers,send flowers,bouquet,bouquets,flower shop,flower shops,800 flowers,1800 flowers,flower arrangements,red roses,ftd florists,ftd florist,ftd flowers,flowers online,florists online,florist online,online flowers,online florist,online florists,order flowers","Banner","N/A","N/A","31-Oct-2024","<a href=""https://www.dpbolvw.net/click-101501157-10025572"" target=""_top""> <img src=""https://www.ftjcfx.com/image-101501157-10025572"" width=""468"" height=""60"" alt=""Order Flowers Online"" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""https://www.tkqlhce.com/placeholder-56825727?target=_top&mouseover=N""></script>","https://www.jdoqocy.com/click-101501157-10025572","N/A","","","","Flowers","857900","Active","English","No"
"1-800-FLORALS","","5656124","Shop 1-800-FLORALS Online","Shop 1-800-FLORALS Online","flower,flowers,florist,florists,roses,plants,house plants,flower delivery,funeral flowers,sympathy flowers,send flowers,bouquet,bouquets,flower shop,flower shops,800 flowers,1800 flowers,flower arrangements,red roses,ftd florists,ftd florist,ftd flowers,flowers online,florists online,florist online,online flowers,online florist,online florists,order flowers,buy flowers,florist shop","Text Link","$7.01 USD","N/A","31-Oct-2024","<a href=""https://www.jdoqocy.com/click-101501157-5656124"" target=""_top"">Shop 1-800-FLORALS Online</a><img src=""https://www.lduhtrp.net/image-101501157-5656124"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""https://www.kqzyfj.com/placeholder-56825728?target=_top&mouseover=N""></script>","https://www.dpbolvw.net/click-101501157-5656124","N/A","","","","Flowers","857900","Active","English","No"
"1-800-FLORALS","","5656123","1-800-FLORALS","1-800-FLORALS","flower,flowers,florist,florists,roses,plants,house plant/s,flower delivery,funeral flowers,sympathy flowers,send flowers,bouquet,bouquets,flower shop,flower shops,800 flowers,1800 flowers,flower arrangements,red roses,ftd florists,ftd florist,ftd flowers,flowers online,florists online,florist online,online flowers,online florist,online florists,order flowers,buy flowers,florist shop","Text Link","$1.67 USD","N/A","31-Oct-2024","<a href=""https://www.kqzyfj.com/click-101501157-5656123"" target=""_top"">1-800-FLORALS</a><img src=""https://www.awltovhc.com/image-101501157-5656123"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""https://www.dpbolvw.net/placeholder-56825729?target=_top&mouseover=N""></script>","https://www.jdoqocy.com/click-101501157-5656123","N/A","","","","Flowers","857900","Active","English","No"
"1-800-FLORALS","","5656119","Flowers Online - Fast, Safe, Guaranteed","Flowers Online - Fast, Safe, Guaranteed","flower,flowers,florist,florists,roses,plants,house plant/s,flower delivery,funeral flowers,sympathy flowers,send flowers,bouquet,bouquets,flower shop,flower shops,800 flowers,1800 flowers,flower arrangements,red roses,ftd florists,ftd florist,ftd flowers,flowers online,florists online,florist online,online flowers,online florist,online florists,order flowers,buy flowers,florist shop","Text Link","N/A","N/A","31-Oct-2024","<a href=""https://www.anrdoezrs.net/click-101501157-5656119"" target=""_top"">Flowers Online - Fast, Safe, Guaranteed </a><img src=""https://www.tqlkg.com/image-101501157-5656119"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""https://www.anrdoezrs.net/placeholder-56825730?target=_top&mouseover=N""></script>","https://www.anrdoezrs.net/click-101501157-5656119","N/A","","","","Flowers","857900","Active","English","No"
"1-800-FLORALS","","9727319","Logo","88 x 31 800Florals.com logo","flower,flowers,florist,florists,roses,plants,house plant/s,flower delivery,funeral flowers,sympathy flowers,send flowers,bouquet,bouquets,flower shop,flower shops,800 flowers,1800 flowers,flower arrangements,red roses,ftd florists,ftd florist,ftd flowers,flowers online,florists online,florist online,online flowers,online florist,online florists,order flowers,buy flowers,florist shops","Banner","$11.36 USD","N/A","31-Oct-2024","<a href=""https://www.anrdoezrs.net/click-101501157-9727319"" target=""_top""> <img src=""https://www.ftjcfx.com/image-101501157-9727319"" width=""88"" height=""31"" alt=""Order Flowers Online"" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""https://www.anrdoezrs.net/placeholder-56825731?target=_top&mouseover=N""></script>","https://www.jdoqocy.com/click-101501157-9727319","N/A","","","","Flowers","857900","Active","English","No"
"1-800-FLORALS","","10281237","Say I Love You","Holiday Text Link","flower,flowers,florist,florists,roses,plants,house plant/s,flower delivery,funeral flowers,sympathy flowers,send flowers,bouquet,bouquets,flower shop,flower shops,800 flowers,1800 flowers,flower arrangements,red roses,ftd florists,ftd florist,ftd flowers,flowers online,florists online,florist online,online flowers,online florist","Text Link","N/A","N/A","31-Oct-2024","<a href=""https://www.dpbolvw.net/click-101501157-10281237"" target=""_top"">Send Your Love with Flowers!</a><img src=""https://www.lduhtrp.net/image-101501157-10281237"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""https://www.kqzyfj.com/placeholder-56825732?target=_top&mouseover=N""></script>","https://www.kqzyfj.com/click-101501157-10281237","N/A","","","","Flowers","857900","Active","English","No"
"1-800-FLORALS","","5598093","468x60woman","468 Banner with woman","flower,flowers,florist,florists,roses,plants,house plant/s,flower delivery,funeral flowers,sympathy flowers,send flowers,bouquet,bouquets,flower shop,flower shops,800 flowers,1800 flowers,flower arrangements,red roses,ftd florists,ftd florist,ftd flowers,flowers online,florists online,florist online,online flowers,online florist,online florists,order flowers,buy flowers,florist shop,florist shops,","Banner","N/A","N/A","31-Oct-2024","<a href=""https://www.kqzyfj.com/click-101501157-5598093"" target=""_top""> <img src=""https://www.awltovhc.com/image-101501157-5598093"" width=""468"" height=""60"" alt=""Order Flowers Online"" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""https://www.dpbolvw.net/placeholder-56825733?target=_top&mouseover=N""></script>","https://www.kqzyfj.com/click-101501157-5598093","N/A","","","","Flowers","857900","Active","English","No"
"1-800-FLORALS","US","15077775","240x240-badge","240 x 240 Graphic - 1-800-FLORALS","send flowers, flowers online, flower delivery","Banner","$0.00 USD","N/A","31-Oct-2024","<a href=""https://www.jdoqocy.com/click-101501157-15077775"" target=""_top""> <img src=""https://www.tqlkg.com/image-101501157-15077775"" width=""240"" height=""240"" alt=""Send Flowers Online"" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""https://www.dpbolvw.net/placeholder-56825734?target=_top&mouseover=N""></script>","https://www.kqzyfj.com/click-101501157-15077775","N/A","","","","Flowers","857900","Active","English","No"
"1-800-FLORALS","","7004864","468 x 60 Seasonal Flowers Banner","Send Flowers Today","send flowers,flower delivery,florist,bouquets","Banner","N/A","N/A","31-Oct-2024","<a href=""https://www.dpbolvw.net/click-101501157-7004864"" target=""_top""> <img src=""https://www.lduhtrp.net/image-101501157-7004864"" width=""468"" height=""60"" alt=""Send Holiday Flowers"" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""https://www.kqzyfj.com/placeholder-56825735?target=_top&mouseover=N""></script>","https://www.anrdoezrs.net/click-101501157-7004864","N/A","","","","Flowers","857900","Active","English","No"
"1-800-FLORALS","","5656128","Birthday Flowers Online","Birthday Flowers Online","flower,flowers,florist,florists,roses,plants,house plant/s,flower delivery,funeral flowers,sympathy flowers,send flowers,bouquet,bouquets,flower shop,flower shops,800 flowers,1800 flowers,flower arrangements,red roses,ftd florists,ftd florist,ftd flowers,flowers online,florists online,florist online,online flowers,online florist,online florists,order flowers,buy flowers,florist shop","Text Link","N/A","N/A","31-Oct-2024","<a href=""https://www.jdoqocy.com/click-101501157-5656128"" target=""_top"">Birthday Flowers Online</a><img src=""https://www.lduhtrp.net/image-101501157-5656128"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""https://www.jdoqocy.com/placeholder-56825736?target=_top&mouseover=N""></script>","https://www.dpbolvw.net/click-101501157-5656128","N/A","","","","Flowers","857900","Active","English","No"
"1-800-FLORALS","GB, US","6986237","468 x 60 Seasonal Flowers Banner","Seasonal Banner - Spring Flowers","send,flowers,florist,florists,roses,plants, flower delivery,funeral flowers,sympathy flowers,send flowers,bouquets,flower shop,flower shops,800 flowers,1800 flowers,flower arrangements,red roses,ftd florists,ftd florist,ftd flowers,flowers online,florists online,florist online,online flowers,online florist,online florists,spring flowers,tulips","Banner","N/A","N/A","31-Oct-2024","<a href=""https://www.jdoqocy.com/click-101501157-6986237"" target=""_top""> <img src=""https://www.tqlkg.com/image-101501157-6986237"" width=""468"" height=""60"" alt=""Spring Flowers Online at 1-800-Florals"" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""https://www.anrdoezrs.net/placeholder-56825737?target=_top&mouseover=N""></script>","https://www.dpbolvw.net/click-101501157-6986237","N/A","","","","Flowers","857900","Active","English","No"
"1-800-FLORALS","","5656121","Same-Day Nationwide Florist Delivery","Same-Day Nationwide Florist Delivery","flower,flowers,florist,florists,roses,plants,house plant/s,flower delivery,funeral flowers,sympathy flowers,send flowers,bouquet,bouquets,flower shop,flower shops,800 flowers,1800 flowers,flower arrangements,red roses,ftd florists,ftd florist,ftd flowers,flowers online,florists online,florist online,online flowers,online florist,online florists,order flowers,buy flowers,florist shop","Text Link","$0.00 USD","N/A","31-Oct-2024","<a href=""https://www.tkqlhce.com/click-101501157-5656121"" target=""_top"">Same-Day Nationwide Florist Delivery</a><img src=""https://www.tqlkg.com/image-101501157-5656121"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""https://www.dpbolvw.net/placeholder-56825738?target=_top&mouseover=N""></script>","https://www.jdoqocy.com/click-101501157-5656121","N/A","","","","Flowers","857900","Active","English","No"
"1-800-FLORALS","","5598169","120x30ros","120x30rose","flower,flowers,florist,florists,roses,plants,house plant/s,flower delivery,funeral flowers,sympathy flowers,send flowers,bouquet,bouquets,flower shop,flower shops,800 flowers,1800 flowers,flower arrangements,red roses,ftd florists,ftd florist,ftd flowers,flowers online,florists online,florist online,online flowers,online florist,online florists,order flowers,buy flowers,florist shop,florist shops","Banner","N/A","N/A","31-Oct-2024","<a href=""https://www.kqzyfj.com/click-101501157-5598169"" target=""_top""> <img src=""https://www.lduhtrp.net/image-101501157-5598169"" width=""120"" height=""30"" alt=""Order Flowers Online"" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""https://www.dpbolvw.net/placeholder-56825739?target=_top&mouseover=N""></script>","https://www.kqzyfj.com/click-101501157-5598169","N/A","","","","Flowers","857900","Active","English","No"
"1-800-FLORALS","","10426955","Flowers Pulldown","Shop for flowers search pull-down","birthday flowers, anniversary flowers, sympathy flowers, get well flowers, bouquets, plants, roses, new baby flowers, fruit baskets, funeral flowers","Advanced Link","N/A","N/A","31-Oct-2024","<TABLE> <TR> <TD VALIGN=""TOP""> <font face=""Arial, Helvetica"" size=""3"" color=""006600""><b>1800Florals</b></font> <font face=""Arial, Helvetica"" size=""2"" color=""283D7F""><b><i>Search</i></b></font> </TD> </TR> <TR> <TD VALIGN=""TOP""> <form method=""GET""> <select size=""1"" onchange=""top.location.href = this.options[this.selectedIndex].value;""> <option selected value>Find Flowers Online</option> <option value=""https://www.tkqlhce.com/click-101501157-10426955?url=http%3A%2F%2Fwww.800florals.com%2Fcategory.asp%3Fcategory%3Drr%26ID%3D%40AF1"">Romantic Roses</option> <option value=""https://www.tkqlhce.com/click-101501157-10426955?url=http%3A%2F%2Fwww.800florals.com%2Fcategory.asp%3Fcategory%3Dmx%26ID%3D%40AF1"">Mixed Bouquets</option> <option value=""https://www.tkqlhce.com/click-101501157-10426955?url=http%3A%2F%2Fwww.800florals.com%2Fcategory.asp%3Fcategory%3Dsn%26ID%3D%40AF1"">Seasonal Favorites</option> <option value=""https://www.tkqlhce.com/click-101501157-10426955?url=http%3A%2F%2Fwww.800florals.com%2Fcategory.asp%3Fcategory%3Dbg%26ID%3D%40AF1"">Blooming &amp; Plants</option> <option value=""https://www.tkqlhce.com/click-101501157-10426955?url=http%3A%2F%2Fwww.800florals.com%2Fcategory.asp%3Fcategory%3Dfg%26ID%3D%40AF1"">Fruit &amp; Goodies</option> <option value=""https://www.tkqlhce.com/click-101501157-10426955?url=http%3A%2F%2Fwww.800florals.com%2Fcategory.asp%3Fcategory%3Dbb%26ID%3D%40AF1"">Birthday</option> <option value=""https://www.tkqlhce.com/click-101501157-10426955?url=http%3A%2F%2Fwww.800florals.com%2Fcategory.asp%3Fcategory%3Dla%26ID%3D%40AF1"">Love, Anniversary</option> <option value=""https://www.tkqlhce.com/click-101501157-10426955?url=http%3A%2F%2Fwww.800florals.com%2Fcategory.asp%3Fcategory%3Dty%26ID%3D%40AF1"">Thinking of You</option> <option value=""https://www.tkqlhce.com/click-101501157-10426955?url=http%3A%2F%2Fwww.800florals.com%2Fcategory.asp%3Fcategory%3Dnb%26ID%3D%40AF1"">New Baby</option> <option value=""https://www.tkqlhce.com/click-101501157-10426955?url=http%3A%2F%2Fwww.800florals.com%2Fcategory.asp%3Fcategory%3Dgw%26ID%3D%40AF1"">Get Well</option> <option value=""https://www.tkqlhce.com/click-101501157-10426955?url=http%3A%2F%2Fwww.800florals.com%2Fcategory.asp%3Fcategory%3Dct%26ID%3D%40AF1"">Congrats, Thanks</option> <option value=""https://www.tkqlhce.com/click-101501157-10426955?url=http%3A%2F%2Fwww.800florals.com%2Fcategory.asp%3Fcategory%3Dwf%26ID%3D%40AF1"">Wake, Funeral</option> <option value=""https://www.tkqlhce.com/click-101501157-10426955?url=http%3A%2F%2Fwww.800florals.com%2Fcategory.asp%3Fcategory%3Dsh%26ID%3D%40AF1"">Sympathy for Home</option> </select> </TD> </TR>	 </TABLE><img src=""https://www.ftjcfx.com/image-101501157-10426955"" width=""1"" height=""1"" border=""0""/>","","","N/A","","","","Flowers","857900","Active","English","No"
"1-800-FLORALS","","10280313","Mother's Day Flowers","Moher's Day Flowers","holiday","Text Link","N/A","N/A","31-Oct-2024","<a href=""https://www.dpbolvw.net/click-101501157-10280313"" target=""_top"">Send Mother's Day Flowers Online!</a><img src=""https://www.tqlkg.com/image-101501157-10280313"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""https://www.anrdoezrs.net/placeholder-56825740?target=_top&mouseover=N""></script>","https://www.dpbolvw.net/click-101501157-10280313","N/A","","","","Flowers","857900","Active","English","No"
"1-800-FLORALS","","10281235","Sympathy Flowers for Home","Sympathy Flowers for Home","sympathy flowers,sympathy gifts, funeral flowers","Text Link","N/A","N/A","31-Oct-2024","<a href=""https://www.dpbolvw.net/click-101501157-10281235"" target=""_top"">Sympathy Flowers for Home</a><img src=""https://www.ftjcfx.com/image-101501157-10281235"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""https://www.dpbolvw.net/placeholder-56825741?target=_top&mouseover=N""></script>","https://www.kqzyfj.com/click-101501157-10281235","N/A","","","","Flowers","857900","Active","English","No"
"1-800-FLORALS","","5598173","120x240 basket","120 white basket","flower,flowers,florist,florists,roses,plants,house plant/s,flower delivery,funeral flowers,sympathy flowers,send flowers,bouquet,bouquets,flower shop,flower shops,800 flowers,1800 flowers,flower arrangements,red roses,ftd florists,ftd florist,ftd flowers,flowers online,florists online,florist online,online flowers,online florist,online florists,order flowers,buy flowers,florist shop,florist shops","Banner","N/A","N/A","31-Oct-2024","<a href=""https://www.jdoqocy.com/click-101501157-5598173"" target=""_top""> <img src=""https://www.ftjcfx.com/image-101501157-5598173"" width=""120"" height=""240"" alt=""Order Flowers Online"" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""https://www.anrdoezrs.net/placeholder-56825742?target=_top&mouseover=N""></script>","https://www.tkqlhce.com/click-101501157-5598173","N/A","","","","Flowers","857900","Active","English","No"
"1-800-FLORALS","","15733912","Evergreen Link for 1-800-FLORALS","Evergreen Links are a long-lasting link type that takes consumers to the advertiser's website. It is deep-link enabled, so publishers can customize it to navigate to a different page if needed.","","Evergreen Link","$0.00 USD","N/A","31-Oct-2024","<a href=""https://www.dpbolvw.net/click-101501157-15733912"" target=""_top""></a><img src=""https://www.tqlkg.com/image-101501157-15733912"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""https://www.tkqlhce.com/placeholder-56825743?target=_top&mouseover=N""></script>","https://www.jdoqocy.com/click-101501157-15733912","N/A","","","","Flowers","857900","Active","English","No"
"1-800-FLORALS","","5598097","468x60 blue","Blue with flowers","flower,flowers,florist,florists,roses,plants,house plant/s,flower delivery,funeral flowers,sympathy flowers,send flowers,bouquet,bouquets,flower shop,flower shops,800 flowers,1800 flowers,flower arrangements,red roses,ftd florists,ftd florist,ftd flowers,flowers online,florists online,florist online,online flowers,online florist,online florists,order flowers,buy flowers,florist shop,florist shops,","Banner","N/A","N/A","31-Oct-2024","<a href=""https://www.tkqlhce.com/click-101501157-5598097"" target=""_top""> <img src=""https://www.awltovhc.com/image-101501157-5598097"" width=""468"" height=""60"" alt=""Order Flowers Online"" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""https://www.dpbolvw.net/placeholder-56825744?target=_top&mouseover=N""></script>","https://www.dpbolvw.net/click-101501157-5598097","N/A","","","","Flowers","857900","Active","English","No"
"1-800-FLORALS","","5598384","100x100","100x100","flowers,florist,florists,roses,plants,flower delivery,funeral flowers,sympathy flowers,send flowers,bouquet,bouquets,flower shop,flower shops,800 flowers,1800 flowers,flower arrangements,red roses,ftd florists,ftd florist,ftd flowers,flowers online,florists online,florist online,online flowers,online florist,online florists,order flowers,buy flowers,florist shop,florist shops","Banner","N/A","N/A","31-Oct-2024","<a href=""https://www.tkqlhce.com/click-101501157-5598384"" target=""_top""> <img src=""https://www.ftjcfx.com/image-101501157-5598384"" width=""100"" height=""100"" alt=""Order Flowers Online"" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""https://www.jdoqocy.com/placeholder-56825745?target=_top&mouseover=N""></script>","https://www.anrdoezrs.net/click-101501157-5598384","N/A","","","","Flowers","857900","Active","English","No"
"1-800-FLORALS","","5656126","1-800-FLORALS - Nationwide, Guaranteed","1-800-FLORALS - Nationwide, Guaranteed","flower,flowers,florist,florists,roses,plants,house plants,flower delivery,funeral flowers,sympathy flowers,send flowers,bouquet,bouquets,flower shop,flower shops,800 flowers,1800 flowers,flower arrangements,red roses,ftd florists,ftd florist,ftd flowers,flowers online,florists online,florist online,online flowers,online florist,online florists,order flowers,buy flowers,florist shop","Text Link","N/A","N/A","31-Oct-2024","<a href=""https://www.kqzyfj.com/click-101501157-5656126"" target=""_top"">1-800-FLORALS - Nationwide, Guaranteed</a><img src=""https://www.lduhtrp.net/image-101501157-5656126"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""https://www.dpbolvw.net/placeholder-56825746?target=_top&mouseover=N""></script>","https://www.dpbolvw.net/click-101501157-5656126","N/A","","","","Flowers","857900","Active","English","No"
"1-800-FLORALS","","5598105","180 x 150","180 x 150","flower,flowers,florist,florists,roses,plants,house plant/s,flower delivery,funeral flowers,sympathy flowers,send flowers,bouquet,bouquets,flower shop,flower shops,800 flowers,1800 flowers,flower arrangements,red roses,ftd florists,ftd florist,ftd flowers,flowers online,florists online,florist online,online flowers,online florist,online florists,order flowers,buy flowers,florist shop,florist shops,","Banner","$0.00 USD","N/A","31-Oct-2024","<a href=""https://www.tkqlhce.com/click-101501157-5598105"" target=""_top""> <img src=""https://www.awltovhc.com/image-101501157-5598105"" width=""180"" height=""150"" alt=""Order Flowers Online"" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""https://www.tkqlhce.com/placeholder-56825747?target=_top&mouseover=N""></script>","https://www.dpbolvw.net/click-101501157-5598105","N/A","","","","Flowers","857900","Active","English","No"
